epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.457,2.25326,3.64687,2.37991,0.49656,0.44776,0.41858,0.19653,1.81328,2.52746,2.20742,0.00333011,0.00333011,0.00333011
2,305.547,1.51165,2.27801,1.80277,0.72374,0.63418,0.70685,0.41,1.47242,1.69338,1.83362,0.00659747,0.00659747,0.00659747
3,452.01,1.38246,1.85963,1.67769,0.69249,0.6443,0.68713,0.40387,1.45505,1.77602,1.80608,0.00979884,0.00979884,0.00979884
4,599.006,1.32317,1.69734,1.61644,0.75738,0.68105,0.74429,0.46749,1.34278,1.46887,1.69736,0.009703,0.009703,0.009703
5,745.677,1.26977,1.5693,1.56603,0.81061,0.72533,0.80568,0.5276,1.33045,1.2989,1.6684,0.009604,0.009604,0.009604
6,890.511,1.22363,1.46465,1.52368,0.81699,0.77082,0.83192,0.55245,1.24891,1.2278,1.604,0.009505,0.009505,0.009505
7,1031.78,1.19346,1.39622,1.49594,0.83137,0.77396,0.83741,0.55641,1.21931,1.18076,1.59127,0.009406,0.009406,0.009406
8,1178.87,1.16322,1.34088,1.47987,0.87856,0.78094,0.86173,0.60065,1.15738,1.06836,1.51108,0.009307,0.009307,0.009307
9,1324.16,1.1486,1.29214,1.46345,0.86485,0.79655,0.87179,0.60893,1.13811,1.03534,1.49936,0.009208,0.009208,0.009208
10,1474.43,1.12638,1.26302,1.44582,0.87995,0.8164,0.88063,0.63173,1.07999,0.92972,1.44759,0.009109,0.009109,0.009109
11,1622.29,1.10676,1.22472,1.42735,0.8714,0.81278,0.88351,0.63109,1.09968,0.97688,1.45429,0.00901,0.00901,0.00901
12,1771.89,1.09935,1.19179,1.42354,0.87874,0.8288,0.89479,0.64824,1.06482,0.89134,1.42473,0.008911,0.008911,0.008911
13,1915.25,1.08323,1.17082,1.40875,0.88973,0.83896,0.89996,0.6617,1.0308,0.86951,1.38737,0.008812,0.008812,0.008812
14,2049.67,1.06871,1.13612,1.39637,0.89833,0.84153,0.90216,0.66363,1.04145,0.88436,1.39977,0.008713,0.008713,0.008713
15,2185.55,1.05652,1.12461,1.39144,0.89061,0.8582,0.90616,0.66803,1.02652,0.8396,1.3869,0.008614,0.008614,0.008614
16,2319.22,1.04667,1.10132,1.37762,0.91501,0.84148,0.90875,0.67826,1.0136,0.82753,1.37095,0.008515,0.008515,0.008515
17,2455.34,1.03885,1.08485,1.37059,0.91753,0.84935,0.90955,0.68097,0.98818,0.80737,1.34412,0.008416,0.008416,0.008416
18,2588.66,1.04312,1.07615,1.37261,0.91051,0.85556,0.91552,0.68769,0.97422,0.77654,1.33423,0.008317,0.008317,0.008317
