epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.1585,2.43516,3.89828,2.51686,0.38861,0.45231,0.31669,0.13702,2.03633,2.88324,2.39175,0.00332689,0.00332689,0.00332689
2,149.947,1.62044,2.54815,1.89231,0.63283,0.63678,0.66704,0.38661,1.57701,1.92602,1.94998,0.00659428,0.00659428,0.00659428
3,223.69,1.41526,1.97419,1.69565,0.71574,0.68662,0.72936,0.4515,1.43644,1.65534,1.80235,0.00979568,0.00979568,0.00979568
4,292.395,1.3444,1.73592,1.62812,0.74987,0.7411,0.78643,0.49818,1.35765,1.45942,1.72755,0.009703,0.009703,0.009703
5,361.998,1.28421,1.57181,1.56485,0.79818,0.74229,0.8128,0.54643,1.23489,1.34851,1.62845,0.009604,0.009604,0.009604
6,436.245,1.21806,1.47118,1.51535,0.81922,0.79214,0.85582,0.58527,1.18059,1.21405,1.55005,0.009505,0.009505,0.009505
7,515.573,1.19059,1.38156,1.49465,0.86064,0.75904,0.85121,0.56171,1.25299,1.17722,1.61151,0.009406,0.009406,0.009406
8,591.28,1.15765,1.32816,1.47116,0.87672,0.80452,0.87327,0.61123,1.17666,1.08564,1.54209,0.009307,0.009307,0.009307
9,667.223,1.13071,1.25647,1.44682,0.86521,0.81789,0.87375,0.61885,1.12945,1.0643,1.48701,0.009208,0.009208,0.009208
10,743.131,1.11982,1.23431,1.43813,0.84086,0.83541,0.87596,0.62914,1.10941,1.05535,1.47957,0.009109,0.009109,0.009109
11,820.023,1.09946,1.19162,1.41651,0.89899,0.80522,0.89009,0.65312,1.07431,0.99689,1.44858,0.00901,0.00901,0.00901
12,897.658,1.08099,1.16687,1.40379,0.90604,0.81842,0.89428,0.64662,1.0954,0.98801,1.47249,0.008911,0.008911,0.008911
13,973.123,1.07473,1.14357,1.40328,0.83887,0.83594,0.88031,0.65154,1.03648,1.00707,1.42174,0.008812,0.008812,0.008812
14,1052.87,1.06415,1.12589,1.38683,0.88077,0.85255,0.90026,0.65123,1.04421,0.95482,1.42102,0.008713,0.008713,0.008713
15,1128.43,1.04647,1.10482,1.378,0.90291,0.83388,0.90519,0.67528,1.02073,0.89375,1.37797,0.008614,0.008614,0.008614
16,1204.05,1.04267,1.08389,1.37329,0.90229,0.84741,0.91411,0.67722,1.00719,0.87223,1.39063,0.008515,0.008515,0.008515
17,1273.55,1.03067,1.0518,1.36425,0.88839,0.85994,0.91057,0.68101,1.00945,0.89706,1.38073,0.008416,0.008416,0.008416
18,1342.95,1.02585,1.05781,1.36568,0.90616,0.86626,0.92212,0.69312,0.99391,0.80519,1.36521,0.008317,0.008317,0.008317
19,1412.4,1.01481,1.02355,1.34961,0.92888,0.84805,0.91524,0.69016,0.9822,0.86483,1.3505,0.008218,0.008218,0.008218
20,1480.95,1.01042,1.01461,1.34235,0.88788,0.87751,0.92297,0.6959,0.97712,0.8191,1.35145,0.008119,0.008119,0.008119
21,1549.54,0.99501,1,1.33272,0.9047,0.86888,0.91832,0.68889,0.9812,0.81243,1.35833,0.00802,0.00802,0.00802
