epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9555,1.45149,2.20855,1.62085,0.52627,0.34,0.3992,0.18144,1.57542,2.80063,1.99582,0.000656863,0.000656863,0.000656863
2,23.4154,1.44426,1.73911,1.60899,0.56715,0.57333,0.57118,0.25389,1.65544,2.38741,2.17575,0.00131043,0.00131043,0.00131043
3,34.5987,1.53651,1.6896,1.69715,0.59089,0.52,0.50137,0.20473,1.86998,2.82602,2.49426,0.00195079,0.00195079,0.00195079
4,45.7381,1.54116,1.53299,1.68556,0.5858,0.52,0.50283,0.19421,2.02046,2.32365,2.706,0.0019406,0.0019406,0.0019406
5,56.89,1.51164,1.41313,1.65484,0.43518,0.54667,0.48258,0.21991,1.82518,1.69336,2.18809,0.0019208,0.0019208,0.0019208
6,68.0051,1.46695,1.32903,1.61095,0.6127,0.62225,0.64924,0.31402,1.78033,1.63831,2.11905,0.001901,0.001901,0.001901
7,79.1262,1.46134,1.26356,1.60274,0.65985,0.76,0.70732,0.38098,1.4601,1.26661,1.82956,0.0018812,0.0018812,0.0018812
8,89.9689,1.43475,1.21493,1.57233,0.85144,0.81333,0.86139,0.5081,1.40723,1.02202,1.80112,0.0018614,0.0018614,0.0018614
9,101.032,1.40823,1.16246,1.56559,0.56174,0.61526,0.59168,0.2833,1.71548,1.87756,2.15909,0.0018416,0.0018416,0.0018416
10,111.966,1.36999,1.10504,1.52787,0.67685,0.73333,0.72328,0.39436,1.53306,1.30005,1.8339,0.0018218,0.0018218,0.0018218
11,123.004,1.35919,1.09279,1.50963,0.7923,0.74667,0.78769,0.44654,1.50885,1.10468,1.79298,0.001802,0.001802,0.001802
12,133.797,1.37082,1.09439,1.52196,0.87834,0.76667,0.84043,0.49933,1.39992,1.01756,1.7506,0.0017822,0.0017822,0.0017822
13,144.556,1.32387,1.02843,1.47853,0.84101,0.84667,0.88542,0.5349,1.28461,0.96306,1.60916,0.0017624,0.0017624,0.0017624
14,155.349,1.29751,1.00757,1.47455,0.77946,0.73333,0.80704,0.45537,1.54236,1.09173,1.8881,0.0017426,0.0017426,0.0017426
15,166.231,1.34086,1.01031,1.50154,0.8898,0.80745,0.90124,0.54338,1.34072,0.87756,1.6736,0.0017228,0.0017228,0.0017228
16,177.07,1.31265,0.99044,1.47136,0.84365,0.82,0.85368,0.50285,1.42427,0.94174,1.7677,0.001703,0.001703,0.001703
17,187.838,1.29541,0.96334,1.46254,0.87605,0.82667,0.90028,0.5553,1.34092,0.8286,1.71149,0.0016832,0.0016832,0.0016832
18,198.997,1.25967,0.94342,1.44162,0.83522,0.79333,0.84288,0.5192,1.41811,0.9103,1.75912,0.0016634,0.0016634,0.0016634
19,209.964,1.28151,0.93389,1.45422,0.91357,0.87333,0.9031,0.54927,1.27735,0.82458,1.62847,0.0016436,0.0016436,0.0016436
