epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.88017,0.94312,2.17352,1.5357,0.00328,0.96774,0.75697,0.3789,1.15421,3.06714,1.99648,0.0006,0.0006,0.0006
2,10.6424,0.99447,1.50413,1.55258,0.28041,0.35484,0.20513,0.07506,2.22395,3.28775,3.51337,0.00120792,0.00120792,0.00120792
3,15.407,1.07441,1.36634,1.61698,0.39107,0.29032,0.32698,0.08724,1.70483,3.10979,3.01522,0.00180357,0.00180357,0.00180357
4,20.0891,1.10925,1.34249,1.6543,0.32273,0.41935,0.26612,0.06582,2.75504,2.5782,4.84831,0.0019406,0.0019406,0.0019406
5,24.7665,1.08536,1.21367,1.62524,0.88019,0.8295,0.88819,0.35297,1.77043,1.68087,3.40578,0.0019208,0.0019208,0.0019208
6,29.4554,1.05616,1.1923,1.59106,0.78686,0.82258,0.85249,0.4228,1.39562,1.67504,2.45045,0.001901,0.001901,0.001901
7,34.1582,1.06163,1.09786,1.60273,0.68958,0.75247,0.76181,0.32593,1.58693,1.7116,2.59432,0.0018812,0.0018812,0.0018812
8,38.7667,1.04059,1.10051,1.56771,0.63733,0.87097,0.77908,0.33232,1.61955,1.6524,2.60168,0.0018614,0.0018614,0.0018614
9,43.4643,0.98023,0.96725,1.54196,0.80342,0.9229,0.9169,0.45318,1.53012,1.32137,2.6518,0.0018416,0.0018416,0.0018416
10,48.1571,0.98408,0.95345,1.51867,0.74381,0.87097,0.8487,0.4133,1.72852,1.24431,2.6819,0.0018218,0.0018218,0.0018218
11,52.8019,0.98119,0.89829,1.53162,0.81369,0.9158,0.9077,0.42088,1.6391,1.143,2.54861,0.001802,0.001802,0.001802
12,57.4642,0.94199,0.94225,1.50856,0.73224,0.87097,0.86893,0.38152,1.76745,1.241,3.0877,0.0017822,0.0017822,0.0017822
13,62.1115,0.91995,0.86897,1.4799,0.86263,0.95161,0.96344,0.5994,1.29035,0.8991,2.06358,0.0017624,0.0017624,0.0017624
14,66.8229,0.91179,0.82454,1.47125,0.93307,0.91935,0.92857,0.56046,1.2555,0.8542,2.08117,0.0017426,0.0017426,0.0017426
15,71.5044,0.92889,0.88302,1.48735,0.86188,0.90582,0.90452,0.564,1.20222,0.90756,1.98017,0.0017228,0.0017228,0.0017228
16,76.2101,0.85815,0.78762,1.44297,0.95143,0.94791,0.98345,0.62765,1.16521,0.80996,2.02451,0.001703,0.001703,0.001703
