epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4049,1.71465,3.76021,2.47966,0.00352,1,0.63517,0.18008,1.12137,3.33356,2.02545,6e-05,6e-05,6e-05
2,48.4859,1.33735,3.43783,2.08692,0.00352,1,0.75552,0.51348,0.80407,3.32644,1.57611,0.00012614,0.00012614,0.00012614
3,72.6704,1.00319,3.08523,1.93267,0.00333,0.94737,0.67855,0.51297,1.20991,3.55106,2.02783,0.00017644,0.00017644,0.00017644
4,96.7737,0.96932,2.74763,1.82576,0.00352,1,0.79816,0.52202,0.83566,3.286,1.59858,0.0002109,0.0002109,0.0002109
5,120.656,0.85466,2.52469,1.65202,0.00352,1,0.8107,0.52221,0.85187,3.23025,1.62847,0.00022952,0.00022952,0.00022952
6,144.388,0.82123,2.3967,1.59872,0.00352,1,0.81496,0.51123,0.87485,3.21309,1.67927,0.0002323,0.0002323,0.0002323
7,168.099,0.87217,2.29431,1.70407,0.00352,1,0.76872,0.48524,0.89664,3.21548,1.69061,0.00021924,0.00021924,0.00021924
8,191.86,0.85409,2.23471,1.69414,0.00352,1,0.7932,0.51415,0.90926,3.22097,1.74672,0.00019034,0.00019034,0.00019034
9,215.525,0.74681,2.13944,1.54733,0.00352,1,0.81344,0.52473,0.91478,3.16233,1.8233,0.0001456,0.0001456,0.0001456
10,239.479,0.76508,2.03945,1.58028,0.00576,1,0.81718,0.526,0.89292,3.09627,1.8584,8.502e-05,8.502e-05,8.502e-05
